,region,name,1996_area,2007_area,2008_area,2009_area,2010_area,2015_area,2016_area,2017_area,2018_area,2019_area,2020_area
15,VGB,British Virgin Islands,106.58502075847548,97.29455626368716,95.62340156190201,100.63905414043387,104.45089662060815,107.25882302204964,110.26556561335923,111.73193172519659,113.46932219881242,109.45816566592025,114.0690482969786
16,BRN,Brunei,13287.75605703336,13307.136844393775,13284.035846427098,13329.751342507885,13311.915764539106,13256.858930670716,13209.80875183969,13214.232295483836,13276.027603992872,13371.18004700283,13331.08430474052
17,KHM,Cambodia,74953.62212226447,72459.44335239139,71527.24254686404,71212.3148711909,71055.27739960961,70531.82651828286,70467.90024315742,70570.61414706145,70789.97063961299,71237.4207057924,71992.36193733208
18,CMR,Cameroon,227629.85595879526,228659.18407196013,228545.5005927092,228557.22423629314,228795.52561993134,229326.24084394594,228719.56626531362,228326.62900178318,228300.14579957916,228848.4449461025,228470.15432571762
19,CYM,Cayman Islands,5429.555165212849,5252.264362340953,5197.464825402888,5186.947793324914,5169.372849501261,5134.547125627099,5121.363838498136,5122.965818061189,5131.6929280733,5145.678330112434,5137.351978605291
20,CHN,China,28401.216959570007,25345.707370833145,24403.97926836641,23623.342666317738,23301.272817906065,23985.60055268064,24624.068218519744,24745.173524524183,24325.230099533564,24260.39740638277,23945.680766588917
21,COL,Colombia,333897.652184181,321290.3306608341,319405.32838481833,320553.3890151141,321645.1222129033,320186.11670880753,319081.61811544094,319049.3193229767,321340.19933957246,323156.490582708,322759.4439919625
22,COM,Comoros,112.09757114259114,113.40653193399483,114.23323907587313,114.3024693631011,112.58036599009466,110.3066623402715,109.68637228537031,110.7880642351424,113.61330889670674,113.8199424679628,112.44217681922818
23,COK,Cook Islands,3.792601563852848,3.792601563852848,3.792601563852848,3.792601563852848,3.792601563852848,3.792601563852848,3.792601563852848,3.792601563852848,3.792601563852848,3.792601563852848,3.792601563852848
24,CRI,Costa Rica,43981.7702885991,44442.59725539961,44402.5021582102,44449.65486683923,44380.879121042235,44206.04749953762,44170.06272122071,44176.20533575511,43903.24168139111,43225.29461963115,42685.76245721314
25,CUB,Cuba,450820.4235631807,428012.6179605738,420593.2437848941,420738.85195485334,416598.8346187118,405615.85917788325,401724.9876047485,403134.26833425043,406482.18213597673,407343.64566348074,406921.49326173356
26,CUW,Curaçao,51.6268430076766,51.6268430076766,51.6268430076766,51.557896874478956,51.48894901257722,51.48894901257722,51.42000142942875,51.48894923558105,51.48894923558105,51.48894923558105,51.48894923558105
27,CIV,Côte d'Ivoire,6705.884049620638,6708.238302059633,6714.12290961551,6722.919029416921,6675.75273880351,6370.998066303023,6197.513897296496,6128.429588571767,6141.563025366186,6176.2458219740265,6194.999964483759
28,COD,Democratic Republic of the Congo,27590.34376075714,27593.425756030876,27487.580729029596,27473.8419710916,27353.138345814186,27338.070090282257,27307.579731140242,27331.7608637567,27369.54160130766,27457.230710018506,27403.680307138562
29,DJI,Djibouti,1030.3763649452974,809.5582288459149,736.7516704378473,721.1905191351734,724.5267671729237,774.8074782802536,799.9641908617122,795.7800162540088,803.8597153924936,810.4107912213557,822.0677361940136
30,DMA,Dominica,1.494687427022585,1.4267473240623363,1.4267473240623363,1.4267473240623363,1.3588072211020878,1.3588072211020878,1.3588072211020878,1.4267473240623363,1.4267473240623363,1.6305676329430818,1.6985077359033305
31,DOM,Dominican Republic,22769.84150908767,22723.348202533594,22552.893216728495,22505.552100860576,22209.940792831938,21965.071668631306,21809.36480831225,21821.16871507386,21913.999222047547,22018.55612614982,22073.250874009787
32,ECU,Ecuador,184788.60680485523,177620.0927637572,174042.67929945127,173072.95122004187,172651.9081457848,173724.11000027304,173954.49282328974,173981.6829224633,174259.23868366826,175691.3404162803,175764.09100015758
33,EGY,Egypt,340.72566181103207,226.96960916037847,204.32931809271304,204.06646923785638,202.78594901392097,198.38726904718385,200.80136450348863,203.12453427059413,207.74844240102584,210.8861264630661,235.59647494587588
