,index,region,name,2007_count_gain,2008_count_gain,2009_count_gain,2010_count_gain,2015_count_gain,2016_count_gain,2017_count_gain,2018_count_gain,2019_count_gain,2020_count_gain,2007_area_gain,2008_area_gain,2009_area_gain,2010_area_gain,2015_area_gain,2016_area_gain,2017_area_gain,2018_area_gain,2019_area_gain,2020_area_gain,2007_count_loss,2008_count_loss,2009_count_loss,2010_count_loss,2015_count_loss,2016_count_loss,2017_count_loss,2018_count_loss,2019_count_loss,2020_count_loss,2007_area_loss,2008_area_loss,2009_area_loss,2010_area_loss,2015_area_loss,2016_area_loss,2017_area_loss,2018_area_loss,2019_area_loss,2020_area_loss
48,93,HTI,Haiti,4053,781,3109,2440,3509,2782,4770,7982,5798,3308,233.0222695728617,44.88747399094085,178.71616018241676,140.27253082254666,201.681994316427,159.886776917045,274.1874216892059,458.89033609825145,333.29698829893124,190.35120345307342,22295,4767,2950,6666,9695,6057,3699,4036,3553,3657,1282.1582319911968,274.03086232125577,169.58529922838224,383.6055288417033,557.7589252879739,348.29857293796306,212.85435153223642,232.15111399742486,204.51113370586359,210.62922943394926
49,95,HND,Honduras,52740,22525,19945,14108,16046,12342,22073,16080,16286,10197,3118.4036150082225,1331.7264664044894,1178.7237575192848,833.0519089423451,946.8656789131079,727.8641590031566,1302.052573880922,946.0116456088501,960.3349086754897,602.5311430614328,35574,15259,12382,18505,51091,23931,14645,13149,33857,25455,2097.0775031331705,898.7789277633138,730.3712183124151,1092.6446091813577,3021.8023120283037,1414.1756563757217,865.3810521222205,777.4597372910732,2001.6404756180464,1502.596829639278
50,98,IND,India,305098,67836,118461,94253,231785,162596,116354,120919,108291,77693,17348.658145281017,3871.797541887436,6748.888115015115,5395.209265505148,13267.168209274429,9346.904424086752,6672.787044616109,6977.520775336026,6208.323999632781,4444.997711318525,422748,134194,114188,115217,150464,121613,103969,104247,139289,174803,24281.942914933003,7760.0298939965905,6564.845557163269,6574.525618302946,8609.958394713378,6947.914855557849,5965.843397942609,5958.262276363454,7984.6935505261235,10003.8476274432
51,99,IDN,Indonesia,491899,211266,394010,474015,723999,499105,434805,518494,574772,773657,29803.76397392096,12800.81723560492,23887.46543563478,28737.564900311056,43893.76827184922,30244.218385904667,26358.662423472448,31431.15258790789,34850.91692182023,46926.01968262686,2540563,1041060,602411,647464,1115373,733665,537243,515140,527374,562006,154079.17405557947,63136.355979727145,36535.68444997498,39274.54202783331,67663.05244167318,44500.695311464835,32585.860136709507,31240.639893296247,31982.66001600417,34064.352628283836
52,100,IRN,Iran,4019,1829,9077,11065,15428,3284,6941,17355,12968,3584,218.60776076704548,99.46347641859835,493.71442374342837,602.2010536842847,839.7524372551445,179.29473268821047,378.2327694877316,944.6648309696328,705.1128822707988,194.93914994175412,50417,25551,7264,9198,9233,12693,9025,14729,5603,15430,2745.6864701396785,1390.1801101856624,395.29467451011726,500.58718378676997,502.1925611568859,690.4247087870505,490.8396038296106,801.3124991066461,305.1427995434061,839.611205693932
53,105,JAM,Jamaica,7899,1398,1082,325,622,473,1876,2243,2161,1886,457.46334444663984,80.95735690300027,62.651425806714556,18.81419362835603,36.00687600585634,27.380784376672036,108.63638329970543,129.87969017041812,125.14066006200122,109.23728021623089,837,1018,2264,5374,11392,4405,2942,1666,1765,1834,48.449369882028904,58.95305942791424,131.03697766620547,311.25508427060487,659.8759108425977,255.1360617342721,170.42236391215675,96.48847015947656,102.23249238611929,106.22650358660471
54,106,JPN,Japan,263,190,246,271,255,257,307,436,499,220,14.451707119672141,10.473175138857828,13.594965713235425,14.979387509791726,14.094592292682549,14.229267926972812,16.932154939377405,24.067521503230793,27.560601019394518,12.074238754362437,409,319,296,351,331,377,375,217,219,186,22.481985843763816,17.58675774186021,16.35008930365411,19.381059736654645,18.20641504321265,20.76863237130259,20.717382273461745,11.947848478721609,12.075396271487179,10.227085603585456
55,110,KEN,Kenya,12585,7631,13920,10869,10285,8749,11294,18754,14805,8433,764.2304306821775,463.33762515137204,845.147147169904,659.6192312750409,624.3912201226439,531.1653539799635,685.7200266261908,1138.266722633662,898.822546304931,512.0425283356561,25934,13803,8797,9431,16135,14702,9141,10977,10792,10528,1574.1820108788897,837.8943369043427,533.9858438834308,572.627056665089,979.3284070456486,892.4834890791299,554.8939604912355,666.4260998102219,655.2933975982928,639.1668716204877
56,118,LBR,Liberia,7016,2714,2079,2302,2777,1362,2656,2101,2457,2230,424.14618158294644,164.08577595018374,125.70017395186183,139.13957169274568,167.8618748634312,82.33745392918408,160.58319675191092,127.08313783603508,148.59343646157964,134.8399340028387,4143,2621,1617,1978,3728,3308,2341,3400,4735,7471,250.4317908510357,158.47832489950878,97.77376283219066,119.58633609578862,225.42589826187486,200.06714029585723,141.5725411979065,205.59132613707806,286.2551192849257,451.653974121223
57,124,MDG,Madagascar,67429,19029,28014,29033,43281,31138,40488,53511,53233,35353,3928.5142161724557,1110.44088592234,1631.1615269116448,1685.4340921537669,2512.3746527221806,1806.2224773129772,2350.6780979090677,3115.828447071811,3090.3818770057787,2056.655187335891,151291,55176,28153,37991,48627,45865,36978,33453,36599,44959,8760.084091926388,3196.661732804472,1632.2589600638553,2208.549175963917,2824.46175813827,2665.3142331010404,2143.4554404022283,1938.783178016416,2117.7215969646536,2611.3087171260304
58,126,MYS,Malaysia,94516,37908,49251,43448,64934,45366,50367,62124,69439,48043,5723.37234968341,2295.1384357202437,2984.548407390561,2633.7053080816986,3935.7061669586983,2749.482132202666,3052.1537122004593,3763.7726041280494,4206.648257513289,2910.6836877685823,134758,75859,40740,50313,111865,78560,47646,47601,61543,69421,8171.923130839225,4597.698119336523,2469.1472252416834,3049.339730573644,6782.487337239125,4760.857586694518,2887.790949696732,2886.0957713232665,3731.1700225510094,4205.671244016195
59,131,MTQ,Martinique,334,388,460,343,515,278,373,347,723,386,19.669962284490506,22.848229138174027,27.0885010181364,20.19826773265808,30.327366300959202,16.37050651121092,21.964789897734263,20.434863306917983,42.57275145049866,22.73111370498054,371,379,266,412,514,624,392,219,225,352,21.848592557324015,22.318142013429345,15.663421046049114,24.26168502831814,30.269095024380142,36.74600019584954,23.084649499932233,12.898438806222803,13.249592845482342,20.728722143894554
