,region,name,2007_area_loss,2008_area_loss,2009_area_loss,2010_area_loss,2015_area_loss,2016_area_loss,2017_area_loss,2018_area_loss,2019_area_loss,2020_area_loss
28,DMA,Dominica,0.04550256464902054,0.04550256464902054,0.04550256464902054,0.09100512929804108,0.09100512929804108,0.09100512929804108,0.04550256464902054,0.04550256464902054,0.0,0.0
29,DOM,Dominican Republic,288.9724773487146,457.1590491278765,508.46011230266856,688.2146307826247,836.4602067289785,927.6855024121204,913.4077294122897,863.081790998886,799.7359150758018,773.5446083878801
30,ECU,Ecuador,7497.557245506011,11406.614706414148,11977.562398601607,12380.241607651304,12355.255421915987,12600.709944002254,12550.915644220253,12336.545387979935,11941.633233762674,12107.798447798483
31,EGY,Egypt,77.0755033573461,92.7407480355497,92.87442290265454,93.64859679982635,96.63760650829369,94.77043417486175,93.38415479881488,90.32771623950785,88.226945634668,71.46666143511021
32,SLV,El Salvador,236.16540957752775,369.4464318843866,360.94859975477186,346.56502776369757,386.9626286442782,388.9926668537478,365.82589240733313,383.7988715809595,526.1327622828892,703.3602912125292
33,GNQ,Equatorial Guinea,47.796997038776254,119.27933465162177,100.16944869212224,89.78850053321514,104.13137522354039,187.07839036025618,222.79587259331097,219.87033934330432,175.04433791943916,175.84461418303115
34,ERI,Eritrea,1178.8747197311895,1677.86114042827,1630.9757157390943,1652.19865139085,1621.435693455405,1657.0720672357909,1574.5239774768181,1555.0008111316147,1631.4050851338525,1673.2638184047194
35,FJI,Fiji,354.46441091424504,578.1752524066303,617.3251543053404,607.2338658890062,567.0025855713452,542.5972713217811,551.2731648221638,621.2339266996287,744.0005367654009,865.0062169958609
36,GUF,French Guiana,6592.004461727547,7292.04028562724,7240.187886769697,7209.471668239542,6773.601511426518,6772.43667508741,6753.931372959427,6848.868980282524,7132.214052033622,7343.985865956214
37,PYF,French Polynesia,1.576045901014719,2.2515887818608853,2.476670822401128,2.791957128448758,2.6118434723005235,2.566795595312904,2.836537631102959,2.611291861763659,1.891045155403351,1.9360412133079221
38,GAB,Gabon,919.1057728429466,1458.5807931279899,1404.91102737633,1394.9438149558891,1500.7942485532326,1844.4837546819592,1815.3186647619075,1800.5004413254383,1884.8816661144442,2236.9275237019197
39,GMB,Gambia,669.425886698782,1178.9531140651507,1170.1896105149824,1260.6960128762635,1551.3055309237711,1880.648607503726,1819.449446232494,1670.0260915139736,1593.3411589181492,1815.2591171093861
40,GHA,Ghana,3715.320306426683,4378.896343642138,4001.750236372547,3171.209338275923,2620.6073291491352,2502.9745444731134,2567.9617190709796,2729.1585871203847,2782.322696539216,2989.721160440634
41,GRD,Grenada,1.5225373491936987,4.197984131840029,4.428350988208496,4.935941841678327,4.935905069583018,5.259519539308903,6.366621103741522,5.490101954753296,5.536145266357923,6.505066419530569
42,GLP,Guadeloupe,32.462891040611396,40.89633012589473,39.354301026705976,39.808531633695125,34.55243614862282,31.152632606692272,30.06445621806376,27.977173645523063,38.085570568407064,50.00855524348431
43,GUM,Guam,0.0,0.0,0.0,0.0,0.3216475575578811,0.8269856710522979,1.6538296660839724,1.791592105988629,1.4699848257148687,1.5617814542426693
44,GTM,Guatemala,793.336637234778,1018.6417409415075,931.1682747632323,838.2260609037686,803.6979707645282,758.8571854318559,651.7589809746314,627.8512492638174,767.2309115447306,872.9668476165141
45,GIN,Guinea,2819.4786006461127,6052.634521797225,5689.380804487636,6134.901871321525,6753.396970805659,8278.660828096617,8508.160167803846,9052.12583096732,10474.809729649045,11411.195013009092
46,GNB,Guinea-Bissau,4666.232170719397,8580.535282347028,9704.151083372035,9924.24598125589,9658.66044765105,10881.7904669701,11896.844975430853,11436.888175939615,10646.13227587839,12157.27904085178
47,GUY,Guyana,1303.0130263158958,1653.7077824957246,1812.923727858817,1947.0472379994258,2582.4602832944583,2777.6365395179096,2918.202963354831,3166.3510868625435,3394.5080571822064,3760.225205605275
48,HTI,Haiti,995.4893322878564,1208.2515275863266,1210.8107717700072,1400.295263091497,1680.0916538457143,1831.4075819004358,1789.0303198324202,1653.333000561292,1584.8522900319135,1605.324679510954
49,HND,Honduras,1628.2064344802789,2326.0335921189935,2217.028529175025,2064.9166247700905,2170.7741893861207,2238.4311418374846,2077.4186897815935,2097.076511170115,2888.2512410647505,3615.384303720631
50,IND,India,18852.91108063834,24877.929510470887,25804.208412050837,27143.22686266342,25670.594919939896,26175.726791462934,26085.086611278202,26177.51918686301,27802.021504083168,31377.35288420918
51,IDN,Indonesia,119629.6761764318,168649.8105788276,180929.759485448,190483.09107143505,213055.4961388666,227257.9374087945,235166.72588605978,239419.63613778568,239872.99283497044,229764.42538045466
52,IRN,Iran,2131.7974042769442,3211.156749417495,3153.697619107626,3082.2353244156684,2895.544364831961,3272.571970722819,3366.205197870664,3366.041600816175,3194.274970220057,3674.310496247781
53,JAM,Jamaica,37.616910042940376,83.38906226402722,116.13565304036554,241.51378224720335,554.8212540809641,680.9316474141549,713.6537293521246,693.5232889835415,690.0741271311749,700.8653077844863
54,JPN,Japan,17.4553939737659,31.11005007215058,36.009940135948526,38.84168495178312,39.44351258773562,42.12980764092228,42.132335931569386,33.628509683382795,28.09445455482721,31.158110210456876
55,KEN,Kenya,1222.2215322641555,1872.7768640170045,1748.118786227052,1684.3514969718508,1871.6090614785446,2079.9665901519616,2019.2817461936565,1865.7914213481354,1929.7391758212216,2150.221711719737
56,LBR,Liberia,194.43947715468965,317.48472843487116,325.6071267093622,323.83770486700985,355.73929179446577,440.65881603816246,437.90521254590624,495.50402807079627,588.7003723427956,815.030842320903
57,MDG,Madagascar,6801.4774197676,9283.41964385458,9509.967436455152,10066.25626769465,10878.559578263423,11925.248468813206,12183.056001894854,11777.805024126079,11450.296827381273,12154.466803242598
58,MYS,Malaysia,6344.819303927134,9914.54986968688,10006.646798949558,10502.740853755524,13171.297003331258,14956.583117689634,15269.545073061641,15406.108465379508,15950.423754108975,17086.075013073583
59,MTQ,Martinique,16.963616715654517,34.29179956899121,32.41675082562171,32.325157738595664,30.176655633242124,35.06877489241111,37.58376827599109,36.30407069967305,30.771987829201194,36.98955595834916
60,MRT,Mauritania,25.368450376868566,37.03397088586355,42.98240668476848,51.37737570805097,44.069523922849385,58.77282120624712,63.62864717469474,66.9712926929079,43.03705723313132,33.32752488735859
61,MUS,Mauritius,103.50308658824615,121.55418456771878,129.09371494560315,134.95144741907018,140.10054667352574,141.832172001799,147.7711811285538,145.86522184145318,139.61452235274717,136.11299768900136
62,MYT,Mayotte,8.012926991641567,10.038918349040207,11.23633063777461,11.41999423077986,12.477833315120794,12.385388869672852,11.60318338897241,9.531112154017677,9.392619681481182,13.628261770635271
63,MEX,Mexico,33784.76912958415,52708.34928063113,60445.07161619976,62432.28969279296,65459.61927521398,65137.946567536295,62106.66579260753,55732.09876391917,55649.54781997966,65578.55510768946
64,FSM,Micronesia,277.9200861534728,295.4264526221756,304.4027394589409,70.70180114231049,15.855476246484125,15.85547624648412,15.85547624648412,15.855476246484125,280.3369771623022,304.7944733399214
65,MOZ,Mozambique,5846.590111168497,11807.906597004381,13487.591343960736,14237.18540198762,14750.436209985744,15400.235139694245,15314.726637677777,16882.402080332813,19570.81729039696,23325.458477399574
66,MMR,Myanmar,34496.00150736747,44580.90032607847,43461.6589817909,47811.088475080905,59712.26419164594,61803.49681685521,61075.04535723366,63835.794108427894,64385.416241360464,58281.905130714775
67,NCL,New Caledonia,726.6175846325305,1090.5298271053725,1299.4075181298763,1275.1698772878349,1188.2107137687067,1022.6686121259893,981.1762745381583,871.7826486598467,784.8882118634667,875.2139745256002
