,region,name,1996_area,2007_area,2008_area,2009_area,2010_area,2015_area,2016_area,2017_area,2018_area,2019_area,2020_area
52,HND,Honduras,62417.06379499247,63284.48152523987,63652.42043276707,64007.88052091032,63795.45442426317,62138.16017540551,61590.99283651455,61935.50568915309,62071.00033956561,61261.98078965431,60564.0249072687
53,IND,India,411118.55768033175,406149.587178966,403223.125799274,403398.8928773537,402496.2690917912,406178.10467017576,408113.5207149777,408676.4930823965,409495.03644374566,408123.37517255126,403784.61758529994
54,IDN,Indonesia,3127302.2592346137,3031524.2080419357,2992748.427086184,2983003.7618494816,2974864.8663504617,2956536.591879378,2945563.9654233,2940823.5751012443,2941106.802451285,2943416.176086579,2953398.4238394913
55,IRN,Iran,14269.07652320803,12312.228508978471,11312.468691642282,11389.466268517166,11468.589516694386,11732.994883420573,11335.535458866081,11248.296340695824,11363.014607458093,11677.82504809842,11176.66049753489
56,JAM,Jamaica,10550.842398950062,10879.32837930387,10898.345510685213,10844.624147854802,10614.441854322315,10124.799427715843,9946.406834638781,9897.966282635376,9924.069968569256,9942.297073890213,9945.038356467127
57,JPN,Japan,1036.004271230604,1030.114419746541,1024.8413306884736,1022.7870900395479,1019.3515463589611,1016.0794038678049,1010.928616511045,1007.8994183835431,1017.3371966494467,1029.559683078258,1031.1321361668313
58,KEN,Kenya,54990.44809857677,54379.83178670538,54100.080467682055,54345.266640919406,54412.92490147809,54134.63008486991,53851.877415702416,53954.71023266036,54327.59980976426,54524.459682927874,54429.502534892825
59,KIR,Kiribati,146.48261901710796,146.48261901710796,146.48261901710796,146.48261901710796,146.48261901710796,146.48261901710796,146.48261901710796,146.48261901710796,146.48261901710796,146.48261901710796,146.48261901710796
60,LBR,Liberia,18681.75543775442,18826.7554914677,18835.02628458233,18857.625220066842,18873.219056228318,18828.132062859757,18736.525266553246,18751.65462171778,18690.596343207486,18583.292672344163,18336.708746773907
61,MDG,Madagascar,282644.23845844396,278986.70782034734,277393.4392416704,277399.52653115883,276997.98721296934,276773.2028191039,276117.86314887967,276291.6278468292,277221.1441967281,277989.483803535,277567.25144198426
62,MYS,Malaysia,531481.7013736045,529717.2341032823,527984.2776209068,528399.5791853432,528082.2046808959,525886.005754659,524331.2153798749,524472.3755803748,525178.9695576786,525576.2253606897,524574.778350695
63,MDV,Maldives,97.34406656011306,97.34406656011306,97.34406656011306,97.34406656011306,97.34406656011306,97.34406656011306,97.34406656011306,97.34406656011306,97.34406656011306,97.34406656011306,97.34406656011306
64,MHL,Marshall Islands,32.54464470607722,32.54464470607722,32.54464470607722,32.54464470607722,32.54464470607722,32.54464470607722,32.54464470607722,32.54464470607722,32.54464470607722,32.54464470607722,32.54464470607722
65,MTQ,Martinique,1920.9720972985817,1919.7501353707173,1920.707139362353,1929.7928541878023,1926.5381297857623,1926.5187047143963,1910.3628364724866,1909.543952392406,1915.5359239204297,1938.8328334836035,1940.6264939575178
66,MRT,Mauritania,325.3715790737302,318.14221476699765,311.6232479155635,305.9586914471863,297.2417334561771,314.6550598733864,298.9191532072844,292.33389912619066,286.8391214262357,318.11996114746296,344.23574669722905
67,MUS,Mauritius,552.9332163739773,456.8819985593617,440.4309453393436,432.8459009113355,427.21660775629255,423.71223974501936,421.75148008281724,415.310932689223,417.7660301272799,426.6673522666962,431.72288348428344
68,MYT,Mayotte,676.752720998933,686.2026625223791,691.7220912623616,691.5698055876021,689.5834454737723,679.5575952187742,674.8572965422128,675.8765750913153,681.4605775077738,682.5485936673825,676.0353969501949
69,MEX,Mexico,1050306.2107253824,1027803.5613059341,1014961.7579812072,1007072.6901994395,1004021.0385701468,999338.844977475,999725.0874214899,1004011.4199060281,1012916.0797592832,1014410.2509250385,1005518.1448529891
70,FSM,Micronesia,9083.575795910383,8817.792094014469,8801.245618986386,8791.016436314221,9016.6692587222,9068.587876571684,9068.587876571684,9068.587876571684,9068.587876571684,8818.204525600051,8794.423025821476
71,MOZ,Mozambique,318644.68767446146,316543.2896181178,312372.5784845382,310792.09994860087,310142.84734984295,309982.56355100934,309702.98621584056,310207.7942000383,309559.59062395606,307151.65630026924,302734.5412462134
72,MMR,Myanmar,582120.4616104221,556814.3505425242,550046.4744635335,552301.3894650575,548406.4886146247,537440.7156241442,536131.8384725772,538188.889097889,537429.6372369141,537499.4706760509,543539.322088617
