,region,name,2007_area_gain,2008_area_gain,2009_area_gain,2010_area_gain,2015_area_gain,2016_area_gain,2017_area_gain,2018_area_gain,2019_area_gain,2020_area_gain
35,FJI,Fiji,320.05868735923275,641.5164871839861,798.7502067072988,806.4561934953902,955.8192403428201,753.1215823179742,781.7472384669793,783.5605765242651,1042.1555775668771,1106.957199813906
36,GUF,French Guiana,5809.0989006958025,6990.360777193968,7555.8989444065555,7810.642542201038,9041.878565764877,9866.842345303663,10311.694650188296,10314.821228571644,10249.016633011674,10869.845138843102
37,PYF,French Polynesia,0.3714329166732289,0.5107195959727941,0.46417491828754864,0.3249480253609272,0.37142154170949837,0.9283615773014221,1.2999919772750363,1.6714351992546896,4.13120575210514,4.92034300972198
38,GAB,Gabon,686.1303218003507,984.060875216648,1119.1472614848785,1017.679285394615,846.0072525535383,698.620535199635,754.3468023352758,838.4135174683283,975.6852334455355,991.9367000225706
39,GMB,Gambia,1339.1308576964934,1774.2139447062486,1856.4084900126663,1861.374040471862,1735.152756952516,1745.4880272816654,1845.6043478130478,2020.3340347326998,2037.0107088422917,2014.7577875342804
40,GHA,Ghana,983.2213357850227,1995.382130522708,2345.0534396015696,2708.0621634012036,2851.3642819848283,2819.354371209884,2701.9799672386516,2612.4979879220477,2689.2700454922465,2874.9768148305607
41,GRD,Grenada,2.0917955256815786,4.516847675131816,4.516790787608485,4.754943470826952,3.756616931509955,3.3286156504256805,2.710372338310984,3.4244236179988006,4.423333957992941,5.706840649932026
42,GLP,Guadeloupe,39.770273048473314,52.857007014928364,63.51304364847677,55.19480470567834,46.406275314407125,45.750947006240835,44.81592703534952,43.55532825732999,47.62210976445748,53.55690481300922
43,GUM,Guam,0.0,0.0,0.0,0.0,0.4262311628412456,0.8050735177618388,0.6156907887136616,1.136657464897729,1.515556060321923,1.9418984233630676
44,GTM,Guatemala,347.64587774003166,555.5282781775672,633.1868998687617,553.1306206127433,493.3101946024582,512.9779420137958,542.2734112070954,597.1261662706731,728.1746425389424,837.5359352518735
45,GIN,Guinea,2644.4082361434457,3568.5497474467293,4081.2651314536124,3743.8838303241555,3558.8139251894445,3295.2623374122454,3662.174449477794,3950.7253789452866,4374.352240431914,4681.496057284197
46,GNB,Guinea-Bissau,5361.0656591027155,6540.379761948385,6453.767005792035,6630.310997860961,6740.250724213906,6529.505050991191,6589.111752936976,6922.5511030924035,7061.490245848394,6696.730770398579
47,GUY,Guyana,895.5402005892316,1058.4388007447087,1086.0381547374727,1157.4273663319354,1339.0610848411848,1591.3003998357306,1628.8957566253075,1621.4976348016316,1628.7671306952775,1811.671819888438
48,HTI,Haiti,186.4851631350445,222.40811558617605,232.3533753282757,232.9271269304696,236.3618220585266,241.5462951921145,246.95026280510447,288.53763426695934,321.0172861429719,325.89084859321736
49,HND,Honduras,2495.6241647276784,3561.390229893584,3807.8452550928764,3443.3072540407893,1891.870569799164,1412.3601833595653,1595.8605839422148,1751.0130557432585,1733.1682357265897,1762.3454159968608
50,IND,India,13883.940579272583,16982.497629413134,18084.543609072807,18520.93827412281,20730.141909783866,23170.68982610888,23643.022013342914,24553.997950276927,24806.838996302715,24043.41278917739
51,IDN,Indonesia,23851.624983753507,34095.97843039803,36631.26210031581,38045.698187283335,42289.828783630786,45519.643597481045,48688.04175269042,53224.17935445726,55986.909686935374,55860.58998533252
